Label,HOA,Precinct,Type,Longitude,Latitude,Status
232,Val de Vie 1,VDV I: Phase 1,Single residential,18.97654409,-33.8196558,Transferred
126,Val de Vie 1,VDV I: Phase 1,Single residential,18.96369571,-33.81169574,Transferred
126,Val de Vie 1,VDV I: Phase 1,Single residential,18.98416599,-33.81812458,Transferred
127,Val de Vie 1,VDV I: Phase 1,Single residential,18.96351042,-33.81166071,Transferred
127,Val de Vie 1,VDV I: Phase 1,Single residential,18.97301899,-33.79341309,Transferred
128,Val de Vie 1,VDV I: Phase 1,Single residential,18.96335352,-33.81162701,Transferred
128,Val de Vie 1,VDV I: Phase 1,Single residential,18.97300589,-33.7935822,Transferred
129,Val de Vie 1,VDV I: Phase 1,Single residential,18.96319662,-33.8115933,Transferred
129,Val de Vie 1,VDV I: Phase 1,Single residential,18.9730081,-33.79381821,Transferred
130,Val de Vie 1,VDV I: Phase 1,Single residential,18.96304138,-33.81155819,Transferred
131,Val de Vie 1,VDV I: Phase 1,Single residential,18.96302141,-33.81187293,Transferred
131,Val de Vie 1,VDV I: Phase 1,Single residential,18.97195785,-33.79372816,Transferred
132,Val de Vie 1,VDV I: Phase 1,Single residential,18.96319155,-33.81191458,Transferred
132,Val de Vie 1,VDV I: Phase 1,Single residential,18.97224398,-33.79381599,Transferred
133,Val de Vie 1,VDV I: Phase 1,Single residential,18.96334844,-33.81194828,Transferred
133,Val de Vie 1,VDV I: Phase 1,Single residential,18.97198756,-33.79390905,Transferred
173,Val de Vie 1,VDV I: Phase 1,Single residential,18.9712361,-33.79514877,Transferred
173,Val de Vie 1,VDV I: Phase 1,Single residential,18.9655286,-33.81215474,Transferred
134,Val de Vie 1,VDV I: Phase 1,Single residential,18.9635919,-33.81194658,Transferred
134,Val de Vie 1,VDV I: Phase 1,Single residential,18.97347218,-33.79384818,Transferred
135,Val de Vie 1,VDV I: Phase 1,Single residential,18.96355899,-33.8120612,Transferred
135,Val de Vie 1,VDV I: Phase 1,Single residential,18.97350213,-33.79361645,Transferred
291,Val de Vie 1,VDV I: Phase 1,Single residential,18.96753891,-33.80179483,Transferred
291,Val de Vie 1,VDV I: Phase 1,Single residential,18.96871415,-33.81046764,Transferred
136,Val de Vie 1,VDV I: Phase 1,Single residential,18.96352356,-33.81217612,Transferred
137,Val de Vie 1,VDV I: Phase 1,Single residential,18.96346191,-33.8123092,Transferred
137,Val de Vie 1,VDV I: Phase 1,Single residential,18.97379013,-33.79349862,Transferred
309,Val de Vie 1,VDV I: Phase 1,Single residential,18.96731772,-33.7991868,Transferred
309,Val de Vie 1,VDV I: Phase 1,Single residential,18.97841953,-33.82204035,Transferred
138,Val de Vie 1,VDV I: Phase 1,Single residential,18.9640881,-33.81270035,Transferred
139,Val de Vie 1,VDV I: Phase 1,Single residential,18.96424191,-33.81273723,Transferred
139,Val de Vie 1,VDV I: Phase 1,Single residential,18.9742709,-33.79351616,Transferred
308,Val de Vie 1,VDV I: Phase 1,Single residential,18.9670918,-33.79938548,Transferred
308,Val de Vie 1,VDV I: Phase 1,Single residential,18.97853199,-33.82172818,Transferred
140,Val de Vie 1,VDV I: Phase 1,Single residential,18.96439881,-33.81277093,Transferred
140,Val de Vie 1,VDV I: Phase 1,Single residential,18.97852005,-33.81686918,Transferred
140,Val de Vie 1,VDV I: Phase 1,Single residential,18.97425977,-33.79368091,Transferred
141,Val de Vie 1,VDV I: Phase 1,Single residential,18.96454026,-33.8129897,Transferred
141,Val de Vie 1,VDV I: Phase 1,Single residential,18.97423507,-33.79390348,Transferred
332,Val de Vie 1,VDV I: Phase 1,Single residential,18.96765972,-33.80339097,Transferred
332,Val de Vie 1,VDV I: Phase 1,Single residential,18.97114327,-33.81060079,Transferred
332,Val de Vie 1,VDV I: Phase 1,Single residential,18.98080929,-33.82377623,Transferred
142,Val de Vie 1,VDV I: Phase 1,Single residential,18.96461847,-33.81281811,Transferred
143,Val de Vie 1,VDV I: Phase 1,Single residential,18.96472305,-33.81303798,Transferred
143,Val de Vie 1,VDV I: Phase 1,Single residential,18.97926846,-33.81705984,Transferred
143,Val de Vie 1,VDV I: Phase 1,Single residential,18.97400999,-33.79410811,Transferred
144,Val de Vie 1,VDV I: Phase 1,Single residential,18.96480675,-33.81285855,Transferred
144,Val de Vie 1,VDV I: Phase 1,Single residential,18.97380358,-33.79411376,Transferred
316,Val de Vie 1,VDV I: Phase 1,Single residential,18.96800706,-33.80245025,Transferred
145,Val de Vie 1,VDV I: Phase 1,Single residential,18.96491133,-33.81307842,Transferred
145,Val de Vie 1,VDV I: Phase 1,Single residential,18.9797452,-33.81743466,Transferred
268,Val de Vie 1,VDV I: Phase 1,Single residential,18.97033458,-33.80300981,Transferred
268,Val de Vie 1,VDV I: Phase 1,Single residential,18.96667429,-33.80975031,Transferred
146,Val de Vie 1,VDV I: Phase 1,Single residential,18.96499502,-33.81289899,Transferred
146,Val de Vie 1,VDV I: Phase 1,Single residential,18.97405909,-33.79452284,Transferred
147,Val de Vie 1,VDV I: Phase 1,Single residential,18.96515192,-33.81293269,Transferred
147,Val de Vie 1,VDV I: Phase 1,Single residential,18.97427945,-33.79449135,Transferred
234,Val de Vie 1,VDV I: Phase 1,Single residential,18.97011229,-33.80029058,Transferred
234,Val de Vie 1,VDV I: Phase 1,Single residential,18.96596061,-33.81039958,Transferred
148,Val de Vie 1,VDV I: Phase 1,Single residential,18.9653082,-33.81296446,Transferred
148,Val de Vie 1,VDV I: Phase 1,Single residential,18.97433275,-33.79468765,Transferred
149,Val de Vie 1,VDV I: Phase 1,Single residential,18.96570897,-33.81282112,Transferred
149,Val de Vie 1,VDV I: Phase 1,Single residential,18.98103945,-33.81798189,Transferred
150,Val de Vie 1,VDV I: Phase 1,Single residential,18.96577258,-33.81267603,Transferred
150,Val de Vie 1,VDV I: Phase 1,Single residential,18.98137008,-33.81809391,Transferred
150,Val de Vie 1,VDV I: Phase 1,Single residential,18.9744525,-33.79505864,Transferred
318,Val de Vie 1,VDV I: Phase 1,Single residential,18.96848011,-33.80220852,Transferred
151,Val de Vie 1,VDV I: Phase 1,Single residential,18.96581049,-33.81255303,Transferred
151,Val de Vie 1,VDV I: Phase 1,Single residential,18.98172141,-33.81821107,Transferred
152,Val de Vie 1,VDV I: Phase 1,Single residential,18.96584795,-33.8124394,Transferred
152,Val de Vie 1,VDV I: Phase 1,Single residential,18.97398553,-33.79515432,Transferred
153,Val de Vie 1,VDV I: Phase 1,Single residential,18.96542857,-33.81266439,Transferred
153,Val de Vie 1,VDV I: Phase 1,Single residential,18.97374234,-33.79524108,Transferred
261,Val de Vie 1,VDV I: Phase 1,Single residential,18.97136094,-33.80245787,Transferred
261,Val de Vie 1,VDV I: Phase 1,Single residential,18.96567313,-33.8091614,Transferred
154,Val de Vie 1,VDV I: Phase 1,Single residential,18.96527231,-33.8126326,Transferred
154,Val de Vie 1,VDV I: Phase 1,Single residential,18.97367625,-33.79508798,Transferred
155,Val de Vie 1,VDV I: Phase 1,Single residential,18.96511541,-33.8125989,Transferred
155,Val de Vie 1,VDV I: Phase 1,Single residential,18.97359263,-33.79486564,Transferred
156,Val de Vie 1,VDV I: Phase 1,Single residential,18.96493759,-33.81256071,Transferred
236,Val de Vie 1,VDV I: Phase 1,Single residential,18.97062683,-33.80028949,Transferred
236,Val de Vie 1,VDV I: Phase 1,Single residential,18.97429192,-33.81940664,Transferred
236,Val de Vie 1,VDV I: Phase 1,Single residential,18.96564682,-33.81033218,Transferred
157,Val de Vie 1,VDV I: Phase 1,Single residential,18.96478069,-33.81252701,Transferred
157,Val de Vie 1,VDV I: Phase 1,Single residential,18.97319763,-33.79520273,Transferred
158,Val de Vie 1,VDV I: Phase 1,Single residential,18.96462379,-33.81249331,Transferred
158,Val de Vie 1,VDV I: Phase 1,Single residential,18.97324889,-33.79536457,Transferred
159,Val de Vie 1,VDV I: Phase 1,Single residential,18.96446689,-33.81245961,Transferred
159,Val de Vie 1,VDV I: Phase 1,Single residential,18.97299372,-33.79541225,Transferred
160,Val de Vie 1,VDV I: Phase 1,Single residential,18.96430999,-33.81242592,Transferred
160,Val de Vie 1,VDV I: Phase 1,Single residential,18.97278728,-33.79546537,Transferred
161,Val de Vie 1,VDV I: Phase 1,Single residential,18.96415309,-33.81239222,Transferred
294,Val de Vie 1,VDV I: Phase 1,Single residential,18.96701276,-33.80100779,Transferred
162,Val de Vie 1,VDV I: Phase 1,Single residential,18.96397057,-33.81234824,Transferred
162,Val de Vie 1,VDV I: Phase 1,Single residential,18.97247741,-33.79539568,Transferred
163,Val de Vie 1,VDV I: Phase 1,Single residential,18.9640452,-33.81210613,Transferred
163,Val de Vie 1,VDV I: Phase 1,Single residential,18.97217577,-33.79546056,Transferred
164,Val de Vie 1,VDV I: Phase 1,Single residential,18.96423049,-33.81214116,Transferred
207,Val de Vie 1,VDV I: Phase 1,Single residential,18.97136006,-33.79874681,Transferred
207,Val de Vie 1,VDV I: Phase 1,Single residential,18.96495342,-33.81111649,Transferred
165,Val de Vie 1,VDV I: Phase 1,Single residential,18.96438738,-33.81217486,Transferred
165,Val de Vie 1,VDV I: Phase 1,Single residential,18.97194854,-33.79567734,Transferred
166,Val de Vie 1,VDV I: Phase 1,Single residential,18.96454428,-33.81220855,Transferred
166,Val de Vie 1,VDV I: Phase 1,Single residential,18.97174449,-33.79573217,Transferred
167,Val de Vie 1,VDV I: Phase 1,Single residential,18.96470118,-33.81224225,Transferred
167,Val de Vie 1,VDV I: Phase 1,Single residential,18.97154577,-33.79578315,Transferred
168,Val de Vie 1,VDV I: Phase 1,Single residential,18.97133499,-33.79586431,Transferred
168,Val de Vie 1,VDV I: Phase 1,Single residential,18.96485808,-33.81227595,Transferred
254,Val de Vie 1,VDV I: Phase 1,Single residential,18.97146078,-33.80178108,Transferred
254,Val de Vie 1,VDV I: Phase 1,Single residential,18.97426058,-33.82000097,Transferred
254,Val de Vie 1,VDV I: Phase 1,Single residential,18.96487924,-33.80952233,Transferred
169,Val de Vie 1,VDV I: Phase 1,Single residential,18.96501498,-33.81230965,Transferred
169,Val de Vie 1,VDV I: Phase 1,Single residential,18.97101134,-33.79592434,Transferred
171,Val de Vie 1,VDV I: Phase 1,Single residential,18.97110824,-33.79557097,Transferred
171,Val de Vie 1,VDV I: Phase 1,Single residential,18.96534969,-33.81238154,Transferred
172,Val de Vie 1,VDV I: Phase 1,Single residential,18.9711571,-33.79532945,Transferred
172,Val de Vie 1,VDV I: Phase 1,Single residential,18.96550494,-33.81241665,Transferred
292,Val de Vie 1,VDV I: Phase 1,Single residential,18.96733277,-33.8013943,Transferred
292,Val de Vie 1,VDV I: Phase 1,Single residential,18.97979196,-33.82036504,Transferred
174,Val de Vie 1,VDV I: Phase 1,Single residential,18.96556545,-33.81204353,Transferred
174,Val de Vie 1,VDV I: Phase 1,Single residential,18.97147894,-33.79514692,Transferred
175,Val de Vie 1,VDV I: Phase 1,Single residential,18.96533929,-33.81205349,Transferred
175,Val de Vie 1,VDV I: Phase 1,Single residential,18.97185842,-33.79511561,Transferred
